"data";"tipo";"num_convenio";"cod_tci";"uf";"secretaria";"campo";"valor_anterior";"valor_atual"
"2026-04-08";"Alterado";"968728";"1-2017299";"PI";"SNSA";"situacao_da_analise_suspensiva";"Analisada com pendências";"Análise não iniciada"
"2026-04-08";"Alterado";"968734";"1-2013087";"MG";"SNSA";"dsc_situacao_contrato_mcid";"Contratado - Suspensiva";"Contratado - Normal"
"2026-04-08";"Alterado";"968734";"1-2013087";"MG";"SNSA";"situacao_da_analise_suspensiva";"Analisada e aceita";"Suspensiva retirada"
"2026-04-08";"Alterado";"968737";"1-2017790";"PI";"SNSA";"situacao_da_analise_suspensiva";"Análise não iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"968756";"1-2016840";"RS";"SNSA";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"968999";"1-2016863";"AC";"SNSA";"status_pub_licitacao";"Próximos 30 dias";"Vencida"
"2026-04-08";"Alterado";"969001";"1-2016874";"AC";"SNSA";"status_pub_licitacao";"Próximos 30 dias";"Vencida"
"2026-04-08";"Alterado";"969015";"1-2015241";"PA";"SNSA";"dsc_situacao_contrato_mcid";"Contratado - Suspensiva";"Contratado - Normal"
"2026-04-08";"Alterado";"969015";"1-2015241";"PA";"SNSA";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada e aceita"
"2026-04-08";"Alterado";"969015";"1-2015241";"PA";"SNSA";"dte_retirada_suspensiva";"";"2026-04-07"
"2026-04-08";"Alterado";"969015";"1-2015241";"PA";"SNSA";"dte_primeira_data_lae";"";"2026-04-06"
"2026-04-08";"Alterado";"969015";"1-2015241";"PA";"SNSA";"status_suspensiva";"PENDENTE";"RETIRADA"
"2026-04-08";"Alterado";"969015";"1-2015241";"PA";"SNSA";"ultima_data_relevante";"";"2026-04-06"
"2026-04-08";"Alterado";"969015";"1-2015241";"PA";"SNSA";"fase_atual";"SUSPENSIVA";"LAE"
"2026-04-08";"Alterado";"969015";"1-2015241";"PA";"SNSA";"prazo_pub_licitacao";"";"2026-08-05"
"2026-04-08";"Alterado";"969015";"1-2015241";"PA";"SNSA";"status_pub_licitacao";"";"No prazo"
"2026-04-08";"Alterado";"969015";"1-2015241";"PA";"SNSA";"urgencia_suspensiva";"Próximos 30 dias";""
"2026-04-08";"Alterado";"969050";"1-2016866";"RS";"SNSA";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"969051";"1-2015967";"RS";"SNSA";"situacao_da_analise_suspensiva";"Análise não iniciada";"Análise iniciada"
"2026-04-08";"Alterado";"969099";"1-2015242";"PA";"SNSA";"situacao_da_analise_suspensiva";"Analisada com pendências";"Análise iniciada"
"2026-04-08";"Alterado";"969111";"1-2017254";"PI";"SNSA";"vencimento_da_suspensiva";"2026-03-30";"2026-04-30"
"2026-04-08";"Alterado";"969111";"1-2017254";"PI";"SNSA";"urgencia_suspensiva";"Vencida";"Próximos 30 dias"
"2026-04-08";"Alterado";"969135";"1-2015253";"RS";"SNSA";"dte_inicio_obra_mcid";"2025-12-23";"2026-01-05"
"2026-04-08";"Alterado";"969135";"1-2015253";"RS";"SNSA";"ultima_data_relevante";"2025-12-23";"2026-01-05"
"2026-04-08";"Alterado";"969135";"1-2015253";"RS";"SNSA";"dias_aio_ate_inicio_obra";"0";"13"
"2026-04-08";"Alterado";"969136";"1-2015258";"RS";"SNSA";"dte_inicio_obra_mcid";"2025-12-23";"2026-01-05"
"2026-04-08";"Alterado";"969136";"1-2015258";"RS";"SNSA";"ultima_data_relevante";"2025-12-23";"2026-01-05"
"2026-04-08";"Alterado";"969136";"1-2015258";"RS";"SNSA";"dias_aio_ate_inicio_obra";"0";"13"
"2026-04-08";"Alterado";"969256";"1-2016964";"RN";"SNSA";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"969301";"1-2015183";"AC";"SNSA";"situacao_da_analise_suspensiva";"Análise não iniciada";"Análise iniciada"
"2026-04-08";"Alterado";"969307";"1-2018553";"MS";"SNSA";"dte_aio";"";"2026-04-07"
"2026-04-08";"Alterado";"969307";"1-2018553";"MS";"SNSA";"dte_inicio_obra_mcid";"";"2026-04-07"
"2026-04-08";"Alterado";"969307";"1-2018553";"MS";"SNSA";"ultima_data_relevante";"2026-02-06";"2026-04-07"
"2026-04-08";"Alterado";"969307";"1-2018553";"MS";"SNSA";"fase_atual";"VRPL";"OBRA INICIADA"
"2026-04-08";"Alterado";"969307";"1-2018553";"MS";"SNSA";"dias_vrpl_ate_aio";"";"60"
"2026-04-08";"Alterado";"969307";"1-2018553";"MS";"SNSA";"dias_aio_ate_inicio_obra";"";"0"
"2026-04-08";"Alterado";"969307";"1-2018553";"MS";"SNSA";"prazo_inicio_obra";"";"2026-04-21"
"2026-04-08";"Alterado";"969307";"1-2018553";"MS";"SNSA";"status_inicio_obra";"";"Iniciada no prazo"
"2026-04-08";"Alterado";"969314";"1-2012586";"RJ";"SNSA";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"969346";"1-2015254";"CE";"SEMOB";"situacao_da_analise_suspensiva";"Analisada com pendências";"Análise não iniciada"
"2026-04-08";"Alterado";"970465";"1-2015005";"ES";"SEMOB";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
